Country,Gold,Silver,Bronze
USA,2235,1252,1098
URS,838,627,584
GBR,546,621,553
FRA,408,491,497
GER,452,378,475
ITA,476,416,404
AUS,312,405,472
HUN,412,316,351
SWE,349,367,328
NED,233,279,339
GDR,329,271,225
CHN,290,296,221
JPN,213,272,303
RUS,239,238,291
CAN,155,232,262
ROU,157,195,288
NOR,209,200,145
KOR,158,204,167
POL,106,174,231
